time,x,y,r,dist,xangle,yangle
1,630,298,46,1.92731,-0.546875,3.70278
2,1060,573,66,1.34327,22.9688,-12.7208
3,182,600,74,1.19806,-25.0469,-14.3333
4,344,112,38,2.33306,-16.1875,14.8111
5,876,125,37,2.39611,12.9062,14.0347
6,764,194,41,2.16234,6.78125,9.91389
7,846,288,45,1.97014,11.2656,4.3
8,804,420,53,1.67276,8.96875,-3.58333
9,624,486,58,1.52855,-0.875,-7.525
10,438,421,55,1.61193,-11.0469,-3.64306
11,384,285,47,1.8863,-14,4.47917
12,468,193,42,2.11086,-9.40625,9.97361
13,627,168,39,2.27323,-0.710938,11.4667
