time,x,y,r,dist,xangle,yangle
1,646,324,49,1.80931,0.328125,2.15
2,902,149,38,2.33306,14.3281,12.6014
3,1118,632,72,1.23133,26.1406,-16.2444
4,148,647,75,1.18208,-26.9062,-17.1403
5,350,132,41,2.16234,-15.8594,13.6167
6,474,218,44,2.01491,-9.07812,8.48056
7,624,190,41,2.16234,-0.875,10.1528
8,791,232,42,2.11086,8.25781,7.64444
9,889,329,49,1.80931,13.6172,1.85139
10,839,458,56,1.58314,10.8828,-5.85278
11,625,532,61,1.45338,-0.820312,-10.2722
12,424,464,58,1.52855,-11.8125,-6.21111
13,398,312,50,1.77312,-13.2344,2.86667
